ENSDARG00000105725	ENSDART00000174185	ENSDARE00001234107	4	264509	264546	-
ENSDARG00000105725	ENSDART00000174185	ENSDARE00001234354	4	262063	262116	-
ENSDARG00000105725	ENSDART00000174185	ENSDARE00001234132	4	258369	258542	-
ENSDARG00000095951	ENSDART00000148638	ENSDARE00001055022	4	386928	387004	+
ENSDARG00000095951	ENSDART00000148638	ENSDARE00001058333	4	387079	387424	+
ENSDARG00000095951	ENSDART00000148638	ENSDARE00001055527	4	387825	387916	+
ENSDARG00000095951	ENSDART00000148638	ENSDARE00001050645	4	388047	388402	+
ENSDARG00000093924	ENSDART00000145121	ENSDARE00000992361	4	389178	389264	+
ENSDARG00000093924	ENSDART00000145121	ENSDARE00001033488	4	403234	403395	+
ENSDARG00000093924	ENSDART00000145121	ENSDARE00001009196	4	447236	447483	+
ENSDARG00000093924	ENSDART00000145121	ENSDARE00001053215	4	486466	486498	+
ENSDARG00000106668	ENSDART00000178115	ENSDARE00001238394	4	564402	564644	+
ENSDARG00000106668	ENSDART00000178115	ENSDARE00001240312	4	564753	564783	+
ENSDARG00000106668	ENSDART00000178115	ENSDARE00001244682	4	573549	573628	+
ENSDARG00000107297	ENSDART00000176948	ENSDARE00001244907	4	718907	719036	-
ENSDARG00000107297	ENSDART00000176948	ENSDARE00001241307	4	713935	713963	-
ENSDARG00000107297	ENSDART00000176948	ENSDARE00001239007	4	710382	710891	-
ENSDARG00000107902	ENSDART00000175763	ENSDARE00001247250	4	1074082	1074246	+
ENSDARG00000107902	ENSDART00000175763	ENSDARE00001235810	4	1076582	1076739	+
ENSDARG00000107640	ENSDART00000179264	ENSDARE00001245217	4	1513271	1514085	-
ENSDARG00000107640	ENSDART00000179264	ENSDARE00001242093	4	1508750	1512834	-
ENSDARG00000106927	ENSDART00000175566	ENSDARE00001238270	4	1522290	1522413	-
ENSDARG00000106927	ENSDART00000175566	ENSDARE00001235969	4	1517679	1517798	-
ENSDARG00000106927	ENSDART00000175566	ENSDARE00001236174	4	1516109	1516285	-
ENSDARG00000106927	ENSDART00000178264	ENSDARE00001238903	4	1517679	1518129	-
