	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F
ERCC-00077	29	24	24	31	30	29	18	17	21	25	12	7	10	20	6	24	17	8	4	4	18	20	15	10	11	25	8	18	8	5	9	8	11	7	6	9	7	3	14	5	10	6	2	8	12	9	7	10	5	9	10	6	6	6	8	1	6	2	5	5	5	9	1	5	7	3	4	3	3	3	2	2	5	3	5	4	4	5	1	6	6	1	0	3	0	3	3	0	1	1
ERCC-00078	521	457	612	491	399	567	420	441	395	515	316	204	269	399	165	225	239	178	177	194	300	304	447	259	291	291	243	239	212	205	334	226	257	248	282	151	142	126	255	149	115	103	117	139	168	158	166	190	142	130	182	235	135	102	125	54	45	76	91	58	58	66	57	63	73	74	80	89	78	82	53	59	65	67	133	56	45	59	57	76	52	41	55	55	47	42	42	38	24	38
ERCC-00079	727	563	764	691	486	699	535	566	549	567	363	246	283	470	233	285	330	247	244	256	385	415	499	296	355	322	307	294	234	274	424	248	334	328	330	197	176	194	327	197	182	148	145	174	196	227	230	201	180	173	199	258	157	107	140	66	62	101	105	58	83	118	85	78	99	92	122	112	106	109	75	75	84	73	130	92	68	63	80	101	66	65	42	49	54	45	47	60	48	57
ERCC-00081	4	1	1	5	3	1	3	0	1	1	1	0	1	0	0	0	1	1	0	1	2	0	2	0	0	0	0	5	2	0	1	1	0	1	2	0	0	0	3	0	2	2	0	0	1	1	0	0	2	0	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ERCC-00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00084	410	317	419	368	247	358	334	285	296	307	188	139	180	282	127	158	160	122	118	124	182	228	278	140	175	158	151	142	140	123	195	165	177	162	189	116	92	84	185	89	83	78	87	94	108	105	120	120	111	104	98	145	94	67	74	35	23	57	55	40	52	47	37	41	52	54	61	67	47	54	36	39	45	68	80	37	36	35	42	52	38	26	37	37	39	32	18	33	20	21
ERCC-00085	26	23	22	24	14	33	18	14	17	27	11	9	13	10	12	16	12	7	15	4	16	16	11	7	13	8	17	10	12	4	9	8	10	10	18	7	7	3	8	8	5	3	7	6	7	9	11	11	12	7	9	5	9	6	4	3	0	2	5	2	1	6	4	3	2	2	6	3	7	3	3	1	2	5	4	0	3	0	2	4	3	2	5	2	1	1	3	1	0	3
ERCC-00086	1	2	1	1	2	0	2	2	1	1	2	1	0	1	0	3	1	2	1	1	2	2	3	0	0	0	3	1	0	2	2	0	1	0	1	0	0	1	3	1	1	2	0	0	2	0	2	1	1	0	3	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	2	0	0	1	0	0	1	0	1	1	0	2	1	1	0	1	0	0	0	0	0	0
ERCC-00092	583	526	644	555	405	610	477	505	455	522	355	245	275	438	192	248	263	204	213	215	384	385	487	274	312	280	267	275	225	237	336	260	294	286	303	187	147	128	262	160	129	114	140	168	185	173	188	207	188	171	175	229	130	105	140	59	62	96	91	73	71	78	69	76	82	75	88	102	77	89	58	69	76	83	122	69	66	65	72	100	47	43	61	54	46	56	48	47	44	44
ERCC-00095	182	145	236	188	160	164	144	125	106	155	103	83	74	143	60	87	73	55	56	55	97	105	158	85	95	79	83	95	66	57	104	73	109	86	98	62	57	72	82	48	53	32	39	42	51	58	62	60	44	53	58	82	45	28	39	17	16	30	33	16	19	27	21	22	21	28	33	21	24	35	22	19	22	24	38	27	23	16	31	25	15	16	21	16	11	18	18	20	11	19
ERCC-00096	134041	111244	141848	114073	85874	131542	105789	109235	105472	111539	72935	50515	59656	95772	42749	52533	54941	43356	47957	47200	74068	80590	99898	58907	65833	59795	55473	56790	47277	47548	75279	52271	59882	59550	63035	38671	37010	33095	63948	35198	34459	28268	28055	35681	35914	38332	42918	40035	35349	36950	44339	51358	30936	22920	27851	13408	12521	18650	21288	13652	15213	22229	15447	16791	18629	17798	22552	19485	19542	18192	14232	14640	15400	17653	27678	14995	12606	12954	15482	19234	11773	9721	13011	11581	11228	9376	9907	10338	8029	9631
ERCC-00097	0	0	1	1	0	0	3	1	0	0	0	0	1	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ERCC-00098	2	0	0	1	1	1	2	0	1	4	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ERCC-00099	196	178	237	203	148	220	180	177	187	159	116	105	94	144	78	92	86	69	74	80	124	121	154	76	120	108	98	115	83	78	124	84	95	78	118	81	68	47	98	59	46	42	57	56	69	62	76	66	67	51	73	87	54	26	52	28	17	27	41	18	31	28	30	29	34	21	39	38	42	34	24	31	30	30	47	34	26	14	33	37	17	16	22	27	13	21	16	20	7	15
ERCC-00104	0	0	2	0	0	3	2	3	2	1	0	1	0	0	0	2	1	2	0	0	2	4	0	1	2	1	0	2	0	1	0	0	2	4	3	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0
ERCC-00108	1361	1150	1398	972	720	1228	955	1014	1029	1028	723	457	530	861	370	461	518	436	483	491	680	786	947	498	596	589	532	518	482	451	706	497	581	542	588	376	353	240	637	317	355	246	274	376	343	362	453	385	355	352	381	452	265	239	260	140	134	208	185	158	157	193	133	183	186	169	218	194	172	200	137	122	128	157	271	134	127	119	138	219	111	89	137	124	111	96	102	117	93	90
ERCC-00109	2	3	5	4	3	1	3	3	0	2	2	0	0	3	1	2	3	1	0	1	3	4	1	0	1	3	1	2	1	1	1	0	2	1	1	0	2	1	2	1	2	2	1	1	0	2	4	3	1	0	1	1	0	1	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0
ERCC-00111	6645	5314	6809	5772	4469	6669	5249	5417	5203	5496	3506	2489	2763	4601	2015	2641	2798	2028	2291	2131	3492	4019	4857	2885	3134	2929	2836	2882	2288	2247	3773	2628	2984	2917	2998	1802	1818	2099	3011	1644	1674	1314	1360	1696	1640	1793	2024	1975	1712	1859	2101	2491	1543	1093	1358	663	649	967	1074	624	739	830	779	807	934	887	1089	896	918	864	665	715	736	881	1464	741	618	650	773	968	574	524	661	546	528	466	496	525	388	491
ERCC-00112	1674	1390	1713	1397	1099	1685	1282	1354	1316	1399	934	642	748	1147	546	632	705	553	551	538	879	938	1208	766	800	784	724	686	633	556	920	611	749	749	784	479	474	372	818	401	450	314	329	500	427	490	521	482	437	496	518	588	378	289	350	157	176	232	238	155	200	278	184	213	251	249	262	261	225	206	170	184	182	213	380	188	138	169	198	229	155	143	166	142	118	131	127	142	91	119
ERCC-00113	47268	39270	49930	40314	31032	47297	38018	38608	36859	40250	25847	18008	21210	33914	14995	19072	19666	15447	16954	16898	26168	28861	35313	21358	23529	22191	20168	20153	17036	16625	26822	19139	21154	21108	22239	13573	13282	11161	22416	12340	12469	9970	10093	12750	12876	13752	15323	14180	13036	13344	15777	18348	11092	8503	10156	4887	4582	6948	7766	4717	5566	6760	5464	6012	6834	6643	8310	7033	6881	6419	4913	5345	5531	6422	10223	5411	4494	4677	5643	6841	4282	3521	4658	4236	3814	3354	3577	3779	2962	3539
ERCC-00116	3	4	3	5	2	3	3	1	1	1	1	0	3	3	0	2	1	0	4	0	1	2	3	1	3	2	4	2	2	0	4	2	3	1	0	2	1	1	1	1	2	0	1	1	2	1	1	1	2	1	3	1	0	0	2	0	2	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
ERCC-00117	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	2	0	1	0	0	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00120	3	4	6	7	1	11	1	5	7	3	5	1	4	4	3	2	0	3	2	3	0	1	6	2	3	0	3	2	0	0	6	2	4	3	1	0	0	1	4	3	2	0	0	1	0	0	4	0	2	4	0	2	0	0	4	0	1	0	1	1	1	1	0	0	1	0	1	0	2	0	1	0	0	1	1	0	0	2	0	1	1	0	1	2	2	0	0	2	1	0
ERCC-00123	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00126	46	51	53	55	27	60	34	40	35	43	30	22	21	26	12	22	18	13	20	18	32	31	29	19	24	19	23	27	13	18	31	24	18	12	18	11	6	6	21	20	15	8	16	13	13	15	18	14	16	18	15	26	12	4	12	3	1	10	6	1	7	8	6	8	7	6	8	7	7	10	2	2	5	6	9	4	3	3	7	6	3	5	1	5	3	4	6	4	1	4
ERCC-00130	49573	42811	54254	47194	37727	51938	41717	42593	40909	43293	28487	19583	23492	37606	16706	23317	22082	17040	18748	17945	28922	31635	39662	23401	25584	23603	21878	22642	18535	18551	29377	20807	23599	23320	24748	15302	14430	16049	24862	13821	14023	10874	10863	14186	14099	14970	16888	15752	14244	14653	17674	20247	12117	9141	11160	5412	4949	7618	8368	5254	6147	8560	6192	6572	7239	6935	9006	7706	7552	6851	5530	5568	5962	6955	11510	5985	4945	5012	6120	7648	4596	3962	5145	4484	4425	3644	3879	4154	3156	3776
ERCC-00131	204	172	221	183	150	249	160	187	158	192	112	69	105	142	59	95	106	69	95	83	110	137	161	90	127	103	84	97	72	73	126	79	112	96	105	64	58	66	88	44	60	55	48	61	56	65	61	59	45	64	75	85	47	46	56	24	20	37	32	28	25	36	24	30	34	25	35	31	25	26	20	18	17	22	51	20	24	17	20	30	18	21	25	15	18	14	14	14	9	16
ERCC-00134	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ERCC-00136	3234	2815	3758	3176	2526	3374	2716	2658	2740	2801	1893	1276	1514	2485	1157	1633	1521	1231	1223	1246	1964	2156	2544	1561	1729	1600	1391	1510	1219	1255	2040	1433	1666	1674	1729	1081	1020	894	1720	917	954	678	760	976	947	991	1195	1060	958	1039	1105	1389	799	679	766	353	336	513	553	348	414	654	422	424	524	503	581	550	528	495	405	368	421	495	749	385	334	370	423	550	333	259	321	309	301	230	275	281	200	278
ERCC-00137	4	5	6	5	5	4	4	4	3	5	3	0	0	1	3	2	3	0	6	2	3	4	5	2	3	1	4	1	1	0	3	1	2	0	1	2	1	0	3	1	1	1	2	1	3	0	2	1	0	4	0	3	0	1	3	0	0	0	1	0	3	0	1	0	2	1	0	0	1	1	1	1	0	0	1	0	1	0	1	2	1	0	0	1	0	0	1	1	1	2
ERCC-00138	3	2	0	1	2	1	2	0	0	1	0	1	0	1	0	1	0	2	2	0	0	1	0	0	0	1	0	0	1	0	1	0	1	1	1	0	3	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
ERCC-00142	1	2	0	2	0	1	0	1	2	2	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	46	20	27	21	18	34	30	25	25	22	21	5	17	28	9	13	10	12	13	13	7	20	16	18	11	14	16	14	11	14	22	17	15	8	14	14	11	1	12	9	5	9	3	7	9	10	15	9	7	11	6	17	7	3	7	2	4	6	2	3	6	3	7	7	3	4	4	3	6	5	3	6	4	4	7	1	3	9	4	4	4	0	1	6	3	2	0	2	1	0
ERCC-00144	34	22	27	33	16	37	17	21	18	17	17	10	16	24	11	10	12	8	8	15	18	20	19	11	11	14	10	16	9	10	15	14	9	10	11	7	7	7	15	12	5	6	7	4	4	10	7	8	8	6	6	15	8	8	5	1	3	2	6	7	0	5	6	7	4	2	0	6	4	1	0	4	5	3	7	3	3	0	4	2	2	0	4	2	4	1	1	7	0	5
ERCC-00145	6463	5473	6967	6074	4624	6801	4998	5381	5178	5581	3768	2464	3053	4768	2085	2785	2856	2195	2262	2448	3682	4049	4989	2978	3240	3122	2763	2934	2404	2337	3683	2750	3110	2979	3158	1936	1845	1535	3164	1783	1781	1402	1514	1845	1850	1948	2157	1993	1812	1948	2027	2648	1563	1207	1405	670	635	1045	1039	669	837	1093	819	880	955	984	1102	1020	1014	915	727	705	832	881	1426	745	654	674	780	971	644	446	653	583	581	484	480	517	446	477
ERCC-00147	5	6	1	1	3	4	0	0	2	0	0	1	1	2	0	1	5	0	1	1	0	1	2	0	2	2	1	0	1	0	1	0	0	1	1	1	2	0	2	1	0	2	0	2	0	1	3	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
ERCC-00148	42	42	52	41	38	44	29	45	43	28	21	13	15	36	9	23	23	19	20	17	27	36	27	15	19	27	23	22	22	11	27	17	17	14	21	17	16	20	29	12	8	8	9	12	11	10	17	8	9	10	18	23	12	2	4	3	2	5	7	5	5	6	4	3	3	6	11	2	6	6	6	4	5	4	9	2	4	4	7	4	6	7	4	6	5	1	1	2	3	2
ERCC-00150	33	20	23	22	15	26	15	17	12	17	10	10	11	19	5	13	8	12	5	11	8	20	23	10	8	13	9	8	6	4	7	10	10	8	10	6	8	5	11	7	3	5	5	5	7	7	8	6	7	11	10	10	3	3	2	4	2	3	8	3	3	7	3	4	4	0	2	2	5	8	1	1	4	3	4	4	2	2	1	3	1	2	1	1	1	3	4	3	1	1
ERCC-00154	4	6	10	5	7	7	4	8	5	7	3	3	3	4	2	3	2	4	3	3	6	5	3	1	3	4	2	2	3	3	9	4	2	4	4	2	1	2	3	2	2	1	1	0	2	2	4	3	3	1	3	5	3	1	2	1	0	2	2	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	3	1	0	1
ERCC-00156	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ERCC-00157	87	63	95	69	67	77	68	64	61	69	42	29	54	81	24	29	28	26	28	35	37	64	54	33	42	32	33	33	36	27	35	31	29	24	41	24	31	24	57	15	19	11	19	20	21	24	31	22	21	27	30	37	15	15	9	11	11	12	16	6	3	16	12	10	17	8	15	14	12	18	10	12	15	14	22	16	13	6	13	12	9	5	7	16	8	8	3	5	4	7
ERCC-00158	2	5	11	3	3	3	3	5	5	1	3	1	0	3	2	3	2	1	2	0	2	0	5	4	3	3	3	1	3	3	1	2	1	4	1	0	2	4	3	3	0	2	0	0	3	1	3	3	2	0	4	1	0	1	1	0	2	1	1	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	2	1	0	3	0	0	0	0	1	0	0	1	0	0	1
ERCC-00160	189	154	197	175	135	205	169	150	147	162	106	60	79	155	60	93	77	58	72	69	110	129	154	76	88	88	88	84	78	60	121	75	81	77	80	76	48	42	84	55	50	39	42	65	60	59	44	58	42	50	58	73	31	36	42	29	15	27	38	22	22	33	24	11	38	28	35	28	33	19	24	25	26	25	55	28	16	14	28	26	15	13	17	16	16	15	17	13	10	9
ERCC-00162	274	330	467	406	371	325	368	310	266	292	153	196	168	315	140	301	174	150	196	169	286	267	353	201	172	246	235	222	188	154	277	196	204	231	263	133	109	248	185	118	156	106	100	109	127	161	180	152	118	134	181	208	129	84	103	74	56	90	95	44	64	111	54	59	64	75	78	62	77	65	63	59	65	66	106	71	51	56	60	81	54	41	74	54	59	39	39	35	44	40
ERCC-00163	143	122	155	144	108	146	105	115	111	119	84	62	73	102	47	74	82	57	50	58	87	85	118	76	77	68	71	57	46	48	85	59	58	61	65	45	42	45	59	39	33	21	20	32	33	41	57	47	41	52	39	54	39	22	34	6	8	16	22	17	10	30	25	14	29	18	30	21	20	20	17	11	20	17	37	15	10	9	13	26	15	15	10	14	9	16	9	10	3	11
ERCC-00164	3	0	9	5	4	2	3	9	1	2	4	2	2	3	0	3	3	0	2	0	3	3	5	1	2	3	5	2	4	3	1	1	2	1	2	0	1	3	1	0	2	1	0	1	2	0	0	0	0	0	2	3	2	1	2	2	0	0	2	0	0	3	1	1	2	1	3	0	1	0	2	0	0	0	1	1	0	4	1	1	0	3	0	1	1	0	1	0	0	0
ERCC-00165	695	535	731	642	490	658	546	503	537	566	396	261	327	507	208	314	288	266	229	263	320	393	531	325	310	304	270	283	234	241	360	279	303	284	298	212	210	126	300	197	173	123	138	166	179	223	242	208	177	189	203	292	152	137	123	60	76	108	129	74	72	132	86	94	86	106	121	89	117	80	69	92	72	97	152	91	75	45	74	96	55	49	70	62	59	44	51	55	52	40
ERCC-00168	3	7	8	16	6	9	6	8	9	7	3	4	0	8	3	4	7	3	4	7	9	8	10	5	5	6	5	6	3	3	3	4	7	4	2	1	7	3	3	1	4	5	1	2	5	7	2	4	2	1	0	8	5	2	3	1	2	2	0	1	2	1	2	1	2	3	2	1	1	3	1	1	2	0	2	1	1	1	2	3	1	0	0	0	4	1	1	0	1	2
ERCC-00170	17	15	15	22	21	22	20	19	23	20	10	11	7	25	7	9	7	11	11	8	12	15	18	10	13	13	4	8	9	15	13	9	15	9	10	11	6	16	12	7	3	10	5	15	8	10	6	14	8	9	8	23	6	5	14	4	1	7	6	4	2	6	1	4	9	1	5	2	1	5	3	1	3	2	8	2	7	4	0	14	2	2	1	3	2	2	3	3	0	3
ERCC-00171	15756	13024	16923	15453	12807	15538	11986	12581	11984	13216	8320	5671	7048	11093	4819	7751	6950	4991	5595	5336	8068	9288	11370	6790	7677	7237	6611	6754	5299	5437	8668	6028	6813	6791	7108	4409	4108	4829	7243	3904	4054	3225	3135	3983	4195	4203	4706	4541	3921	4317	5175	6115	3618	2608	3197	1564	1449	2358	2525	1447	1752	2801	1653	1898	2063	2087	2589	2089	2109	2065	1556	1653	1725	1921	3249	1693	1346	1432	1707	2187	1320	1141	1455	1256	1193	990	1083	1149	848	1055
